,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio,ClusterID
GWW,1.0061100544432946,0.6415189650862919,1.0568475897771064,0.6263168669590317,0.6180919119696165,0.8004802224188046,0.7573075450638688,1.6569721366123646,0.9362990413714669,0.9615071806290897,0.2067866344625273,1.2345155483830368,1.1174153017795836,1.6001922419469161,1.173833794639843,-0.7507767981228788,1.0837489643011298,2.1589380878387163,1
HAL,1.5913550633121099,0.5365624395233749,1.2181759098511133,0.5331080126543901,0.6227543932487342,1.5775464761017042,1.7212344020644073,1.3950609642879248,0.5126179449034753,0.8081273831857989,0.22634458784343328,1.3386308917025729,0.9026572413818492,1.4944832659065832,1.6000806289054623,1.9249177955235062,1.5761627582056126,0.43601566003346587,1
HBI,0.5507838984105492,0.39379668295767406,0.6866581909553554,1.1551202078848666,1.0591111345990165,2.107023411371237,4.080079079226931,0.7886620382689471,0.09340704598052281,0.4095141067798762,0.12245286602454138,0.6732439548658905,0.5213057931796459,0.9992843072412905,1.473492583892188,4.221113283259596,1.322580348629798,0.126001637586542,1
HOG,0.36120717119574686,0.5760825176851839,1.282298371219342,1.1721324000804543,1.2112015209633893,2.3680069930069925,2.1445468283094535,0.399283969133264,0.009393193465987463,0.982640492310783,0.36944126210551625,2.561673464199058,0.8513003350034407,0.7190464692036291,1.9137139373371927,4.407655108550264,1.3336429038583264,0.5231865484425721,1
HIG,0.2953315332227312,0.2833161531317295,0.49420203432713233,0.44233622610948176,0.4442132561168252,0.0,0.8270842042129367,0.0,0.0718397201641724,1.2885511969127426,0.0,2.159059907454095,0.05976548158344937,1.7174024786387665,0.5127605648373247,0.4058953909106408,0.7080082099148401,0.7522481949075575,1
HAS,1.2474901312678273,1.330479113698937,1.9545172575065906,0.736639651059981,0.6271314045435782,0.8523867436910914,0.8990490041243905,0.5600643460170783,0.0430104257277686,0.8951432999945591,0.36942711837694653,1.9499432646474255,2.2677976658902614,1.3948463584631745,0.8699676411277428,0.9997942175120901,0.8106763146296619,0.360739382244852,1
HCA,0.2876752517991289,0.22243451777295248,0.3834820786144107,0.9246169401627362,0.6841477695353304,0.5659490184459733,1.5339619788859236,1.175664987720102,0.8861196813026169,1.058227466987428,1.3414966235325398,0.6477615252926073,0.12277470187943695,0.6697350001627763,2.8740579392015486,5.887137858357205,2.7723858666142926,2.2734630371946474,1
PEAK,0.9441664906600088,0.9225595699516188,0.1875305647285557,1.8387482268590256,2.210623344753284,0.0,1.4888570311481821,0.0,3.1390756343198745,0.4545375729913048,0.0,0.44694763846508584,0.5803900218996121,1.8518373654276044,0.8927463087932607,0.7040590787270077,0.887473563153144,0.3174587109840389,1
HP,1.105564361211518,0.8663846728041799,0.19941250807987104,0.013158796217702558,-0.10852154592836288,-0.0942468023406349,-0.08314185725900529,0.04505786965401993,0.5788124466914306,1.9246456122290025,0.4652040408352111,1.9397301134420024,1.8308532509459075,1.7493563810224346,0.3309816569240073,0.2123985933195374,0.3235397084458592,0.9468838976236748,1
HSIC,0.6226091672994974,0.17237705491319366,0.5931639927587413,0.38805633018974445,0.3422837997845994,1.411358374208557,-0.36288997278571716,0.7524594485839962,1.2374945688802474,0.7779356025920713,0.37440494797394436,0.2560585531001695,0.03271476510412672,0.6439186769541295,0.7834906483404532,-0.5816550804629824,0.9318652509614359,0.5238044823798202,1
HSY,0.9652229974100315,1.2308200749726481,1.3620793440903072,1.6030109007818651,1.8246886593456737,2.759787392124363,-0.21507577323990776,1.6290255864799388,0.5244800322767965,1.2407323322738666,0.8978034568130938,0.9130315985773013,1.240968664553833,0.8909200240529163,1.435490372391554,-0.18553318267143135,1.2549479153865126,1.4315556799203126,5
HES,1.3350614165607806,1.0260153161372367,1.253876371488751,0.37778128778363185,-0.3935415882127109,-0.2232924240070427,-0.29000671639153036,0.47484062635390234,0.7005822461356306,1.3719239547846585,0.6935645145610841,1.4887590818315328,2.639759809950054,1.3026848105921294,1.2549889135254988,1.2315563624360457,1.2408242043098718,0.785782878668405,1
HPE,0.30133449104949084,0.15277746032706963,0.5488319899427349,0.10498354491401576,0.3348512963040351,0.928021330963226,0.7139650173042745,0.18210361067503922,0.23910876887907045,0.21397872977917617,0.9452613869855941,0.7730632062056988,0.3657295740490899,0.46323361064418356,0.8189073456402808,1.6139115414639005,0.753710974333985,0.28071916477221304,1
HLT,1.330259424452553,1.41732423495936,1.3013209891864024,1.514223903293124,1.1176930257057356,-23.009653390088168,9.925329212729936,0.6255956844626142,0.10065927819755319,0.3391120464631555,0.0,0.6550226907038466,0.4523806970914086,0.43707876796820433,1.3974812092583035,13.59810680111123,1.5292515538236964,0.29894658543113356,0
HFC,1.2294500518964353,0.27646457106521793,0.8449251134863165,0.4809687892135822,0.5592819065948177,2.3373206980477454,1.8360493478030335,2.1627777433929563,2.791292910827129,1.5741169936809596,0.30369269654339154,1.3878179715456351,2.133877916388584,1.8162927546892238,0.8840959483975004,0.7242880901900542,0.8776313902886018,1.0733501914776165,5
HOLX,0.6919645598918904,0.8413047486735058,3.10746604639919,-0.55793587127807,-0.2916622160338991,-0.4662134729126203,0.09182519753362345,-0.21837405819423059,0.7296320859697918,1.0130277506325611,0.4270697432156303,0.5973321735104232,0.8799141434353028,0.610158869681284,1.5796846945724914,-1.2162282540347935,1.3608053742212665,0.3111202197195459,1
HD,1.266283159188997,1.1536470340266891,1.0673777063183731,1.3404102769718416,1.3391104953661606,3.669732441471571,-42.38772681308443,2.6502092455066646,0.6778492782534191,0.7761805176741078,0.2868807825118858,0.23290859834464847,0.25997392485522225,0.6388961410405941,1.782372728164156,-15.99907397880441,1.7580236062565133,0.8100811719022636,3
HON,1.016575669395696,1.0591490788236704,1.0396188865595957,1.161215201724522,1.4353195904536302,2.1980942752432706,0.692198814832389,1.063274419774828,0.577289435750685,0.39130564547849006,0.25595052488521736,0.9378372992803335,1.5299440083977331,0.8689651541711733,0.8716802808344021,-0.5794546783020038,0.9529901972567864,0.9958794308821983,5
