,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
BAX,0.03445909037056219,0.18497144388413644,0.03172010081422206,6.887754873120007,10.37822375870042,2.3858712852168495,0.8377038302069661,6.5336748264079825,0.09823575993112149,0.05096891579974639,0.016047242544757267,0.581038959853483,2.21363798754123,0.5144042416256567,2.6204496340105705,0.3516803281294571,1.7098226956986786,0.053531098358222284
BBT,0.021282387960089657,0.3444997701769803,0.06405136081298131,4.588405227953959,6.394112656870215,0.0,3.859851914011218,0.0,0.0,0.0237068252977159,0.0,0.022781753832294215,0.19400676701492844,0.01922874553245666,5.967045235220046,1.236662606688505,3.1245503035646407,0.0506924651357775
BDX,0.05091472578503483,0.2600753267319396,0.046371520052396316,5.2020720528064315,1.3836210951456935,0.6250310690849774,0.05949144283619529,1.3970028411727593,0.1252012222115455,0.06458725099090293,0.01688947184635434,0.22384532935213025,0.5869610759909772,0.2531351970050549,4.701013558449912,0.8071855816448132,2.8039468473588274,0.14603320727888125
BRK.B,0.0,0.0,0.008502908926257463,0.418366958011957,0.38737281476716257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBY,0.04067354454900108,0.13058440295084195,0.04493614001993331,3.988817224092638,5.795890508444344,24.11634444712424,22.687939844960333,19.90407444523032,0.006162325417308081,0.14108981353854894,0.010098149492312334,0.4380618252556664,1.5743909915352183,0.3926728791771859,0.776240992313101,0.44442580730906023,0.8001274052889255,0.04347857666307655
BIIB,0.020205581905853393,0.2648291833334475,0.019855272928603864,19.26261680325981,23.419171287585723,6.244710054030016,1.3658913699823756,14.278085448499024,0.08910776396531965,0.45961881270153293,0.03311580653505057,0.8265955016064239,1.2735025892540068,0.5715876551652602,2.766619564112824,0.3589330943675002,1.7339331438016554,0.41185300422425203
BLK,0.05585916373021695,0.4949702822414402,0.06082124351546883,4.893224233839117,6.583552261792928,0.0,4.784345802082871,0.0,0.0050726274541267975,0.13567941428566022,0.0,0.3846599494946642,2.258540650274733,0.749280183312447,1.4777760465349643,0.20206229804229228,0.7773059123116036,0.1728304567242936
HRB,0.05605989606717493,0.6280772427180834,0.07103069124873315,17.175733411445865,23.17478737413072,20.988736120780345,39.975453177592705,33.392162232940365,0.0032128055251664967,0.44911482326816377,0.0,2.1985900942328693,11.052921042062428,0.7181824039142435,3.2629535392492146,2.9179867858169666,1.985547971538257,0.014890114937093113
BA,0.05345324890714086,0.37108650645060526,0.08977841699996247,4.6365718920769385,8.136175420110645,6.738561522933697,106.77632050392519,18.495669252745397,0.08357714408915731,0.13563338978404935,0.0012220201146730487,0.28844860396838085,0.9097287465105183,0.49052359259330164,1.1379197232562894,17.241003169819773,3.9889412419135533,0.35424918495261515
BKNG,0.09189151297011092,1.9303720190784848,0.10617422477302144,30.64403271346445,46.71868405711523,46.23891820963414,23.31816039620923,15.084826548631382,0.0015720904985001515,0.17215448605607078,0.0,2.413217939533634,4.409456070640731,0.7863432339153638,2.7500284969307995,1.0422515657355162,1.3423990024513304,0.5614824987278949
