Ticker,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
LB,5.4026,0.562,7.867171733,0.093827907,0.048651507,0.1574,-0.7411,0.1625,39.1049,6.7955,10.6407,0.896273917,0.711480363,1.641,0.7183,-6.687,1.175839741,5.005
LHX,18.8532,3.285,2.143880208,0.187913542,0.139538303,0.7882,0.2822,0.0845,14.7367,3.252,17.642,0.435185185,0.233686067,1.137,0.3481,1.0473,0.511546841,10.0317
LH,9.7669,1.125,9.309447781,0.13343745,0.077973071,0.3277,0.1268,0.0597,6.11,4.6132,48.7983,1.218319229,0.227154186,1.509,0.3744,0.8692,0.465022408,12.9376
LRCX,9.0324,2.9716,2.807176873,0.253437204,0.227007469,0.3024,0.4689,0.3377,5.3152,5.3206,5.6515,3.01136424,1.650073156,3.609,0.3741,0.9606,0.489962312,20.8293
LW,13.0592,2.3671,12.68502977,0.191481432,0.12740583,0.2385,-104.0435,0.1652,13.2739,3.6917,7.1689,0.637301013,0.022069465,1.739,0.7633,-505.7826,1.001981051,4.655
LVS,8.6756,2.9706,13.10056603,0.235559764,0.175759342,0.1286,0.4245,0.1701,20.4758,19.914,381.3611,1.706366804,1.476401647,1.763,0.5316,2.1086,0.678306639,5.9809
LEG,10.6159,1.0948,11.04726779,0.104251083,0.071647734,0.2128,0.2644,0.119,7.3189,2.3372,14.9518,1.029422582,0.328674758,1.869,0.3457,1.0104,0.502579536,3.3761
LDOS,10.218,0.7698,11.14221684,0.073278399,0.05699431,0.5713,0.1756,0.0708,5.4984,1.6914,0,1.070422535,0.158814959,1.379,0.3562,0.9444,0.485696517,5.1282
LEN,8.2455,0.686,9.791918498,0.108936525,0.082435418,0,0.1163,0,109.8595,7.3411,1.4731,0.392347837,0.333796292,5.149814586,0.2991,0.5859,0.377984151,5.1822
LLY,22.1893,4.9921,24.81985667,0.154575109,0.131619135,0.194,0.3288,0.0963,4.4489,4.9191,6.4993,1.109151168,0.615800675,1.729,0.2345,1.0478,0.5116732,5.3755
LNC,5.6408,0.6673,8.709851013,0.132854359,0.099914759,0,0.1144,0,1.3906,0.9827,0,6.779199475,0.769356955,10.96981627,0.0196,0.4069,0.2892169,9.0962
LIN,23.5322,5.7709,2.317289073,0.362416107,0.294026846,0.1287,0.0849,0.0165,4.9609,2.809,13.1567,0.676366162,0.344705156,1.333,0.1638,0.2965,0.228667105,11.0593
LKQ,10.6241,0.6358,10.85588329,0.06886524,0.040425291,0.1185,0.1004,0.0584,10.8901,3.4694,4.5532,0.879016629,0.196267869,2.675,0.3783,0.9013,0.474056501,2.2336
LMT,23.733,1.3853,11.32666785,0.121014843,0.093858115,0.6445,3.6198,0.1459,22.8337,7.4495,18.302,0.223364356,0.053618558,1.118,0.3143,10.1176,0.91005291,11.0328
L,3.3875,1.0168,11.66725959,0.095122992,0.045215413,0,0.0343,0,1.8065,64.451,0,0.466483642,0.01544269,0.472470068,0.1453,0.6143,0.380544591,13.2326
LOW,12.5909,1.0935,16.45282482,0.056346324,0.032450322,0.1274,0.635,0.1189,0,2.1046,5.9538,0.050286266,0.035248672,0.981,0.4701,4.452,0.816580259,7.7127
